Time,MeasuredLux,DutyCycle,SetpointLux
250421.0,14.8,0.549,15.0
250526.0,14.79,0.549,15.0
250631.0,14.8,0.549,15.0
250736.0,14.84,0.549,15.0
250841.0,14.83,0.549,15.0
250946.0,14.82,0.549,15.0
251051.0,14.84,0.549,15.0
251156.0,14.76,0.5492,15.0
251261.0,14.81,0.5492,15.0
251366.0,14.8,0.5492,15.0
251471.0,14.84,0.5492,15.0
251576.0,14.78,0.5495,15.0
251681.0,14.85,0.5492,15.0
251785.0,14.85,0.5492,15.0
251890.0,14.86,0.5492,15.0
251995.0,14.85,0.5495,15.0
252100.0,14.84,0.5495,15.0
252205.0,14.83,0.5495,15.0
252311.0,14.83,0.5495,15.0
252415.0,14.85,0.5495,15.0
252520.0,14.88,0.5495,15.0
252625.0,14.77,0.5497,15.0
252730.0,14.83,0.5495,15.0
252835.0,14.84,0.5497,15.0
252940.0,14.83,0.5497,15.0
253045.0,14.84,0.5497,15.0
253150.0,14.85,0.5497,15.0
253255.0,14.83,0.5497,15.0
253360.0,14.86,0.5497,15.0
253465.0,14.85,0.5497,15.0
253570.0,14.85,0.5497,15.0
253675.0,14.82,0.5499,15.0
253780.0,14.82,0.5499,15.0
253884.0,14.81,0.5499,15.0
253989.0,14.85,0.5499,15.0
254094.0,14.86,0.5499,15.0
254199.0,14.85,0.5499,15.0
254304.0,14.78,0.5502,15.0
254409.0,14.83,0.5499,15.0
254514.0,14.81,0.5502,15.0
254619.0,14.85,0.5499,15.0
254724.0,14.8,0.5502,15.0
254829.0,14.87,0.5502,15.0
254934.0,14.85,0.5502,15.0
255039.0,14.87,0.5502,15.0
255144.0,14.84,0.5502,15.0
255249.0,14.86,0.5502,15.0
255354.0,14.89,0.5502,15.0
255458.0,14.89,0.5502,15.0
255563.0,14.86,0.5502,15.0
255668.0,14.79,0.5504,15.0
255773.0,14.88,0.5502,15.0
255878.0,14.79,0.5504,15.0
255983.0,14.84,0.5504,15.0
256088.0,14.88,0.5504,15.0
256193.0,14.85,0.5504,15.0
256298.0,14.84,0.5504,15.0
256403.0,14.86,0.5504,15.0
256508.0,14.94,0.5504,15.0
256613.0,14.83,0.5507,15.0
256718.0,14.86,0.5504,15.0
256823.0,14.85,0.5507,15.0
256927.0,14.88,0.5507,15.0
257032.0,14.89,0.5507,15.0
257137.0,14.84,0.5507,15.0
