Time,MeasuredLux,DutyCycle,SetpointLux
17234.0,26.02,0.0,5.0
17339.0,10.25,0.0,5.0
17445.0,4.38,0.0,5.0
17550.0,2.14,0.0278,5.0
17655.0,1.34,0.0664,5.0
17761.0,1.47,0.1011,5.0
17866.0,2.21,0.1267,5.0
17971.0,3.18,0.1424,5.0
18077.0,4.08,0.1487,5.0
18182.0,4.72,0.1497,5.0
18287.0,5.1,0.1475,5.0
18393.0,5.26,0.1446,5.0
18498.0,5.36,0.1407,5.0
18604.0,5.27,0.1385,5.0
18709.0,5.31,0.1358,5.0
18814.0,5.18,0.1348,5.0
18920.0,5.14,0.1338,5.0
19025.0,5.14,0.1328,5.0
19130.0,5.05,0.1326,5.0
19236.0,5.03,0.1324,5.0
19341.0,5.06,0.1316,5.0
19446.0,5.03,0.1311,5.0
19552.0,5.09,0.1304,5.0
19657.0,5.02,0.1306,5.0
19762.0,5.04,0.1302,5.0
19868.0,5.0,0.1304,5.0
19973.0,5.01,0.1302,5.0
20078.0,5.06,0.1297,5.0
20184.0,5.01,0.1299,5.0
20289.0,4.99,0.1302,5.0
20394.0,5.06,0.1294,5.0
20500.0,5.0,0.1297,5.0
20605.0,5.09,0.1289,5.0
20710.0,5.02,0.1289,5.0
20815.0,5.0,0.1292,5.0
20921.0,5.0,0.1289,5.0
21026.0,4.9,0.1299,5.0
21131.0,5.05,0.1284,5.0
21237.0,4.99,0.1287,5.0
21342.0,4.97,0.1287,5.0
21447.0,4.98,0.1289,5.0
21553.0,4.99,0.1289,5.0
21658.0,5.02,0.1284,5.0
21763.0,4.98,0.1287,5.0
21869.0,5.0,0.1287,5.0
21974.0,4.99,0.1287,5.0
22079.0,5.0,0.1287,5.0
22185.0,4.99,0.1289,5.0
22291.0,5.02,0.1284,5.0
22396.0,5.08,0.128,5.0
22501.0,5.04,0.1277,5.0
22607.0,5.04,0.1277,5.0
22712.0,4.99,0.128,5.0
22817.0,4.99,0.1277,5.0
22923.0,5.02,0.1277,5.0
23028.0,4.95,0.1284,5.0
23133.0,5.03,0.128,5.0
23239.0,4.99,0.1282,5.0
23344.0,5.0,0.1284,5.0
23449.0,5.0,0.1284,5.0
23555.0,5.01,0.1282,5.0
23660.0,5.02,0.128,5.0
23765.0,5.03,0.1275,5.0
23871.0,4.99,0.128,5.0
23976.0,4.96,0.1284,5.0
24081.0,4.99,0.1282,5.0
24187.0,4.99,0.128,5.0
24292.0,5.02,0.1277,5.0
24397.0,5.05,0.1275,5.0
24503.0,4.98,0.128,5.0
24608.0,5.0,0.1275,5.0
24713.0,5.05,0.127,5.0
24819.0,5.05,0.1267,5.0
24924.0,4.96,0.1277,5.0
25029.0,5.04,0.1267,5.0
25135.0,4.95,0.1275,5.0
25240.0,4.98,0.1275,5.0
25345.0,4.97,0.1277,5.0
25451.0,4.99,0.128,5.0
25556.0,5.04,0.1275,5.0
25661.0,5.0,0.1277,5.0
25767.0,4.99,0.1277,5.0
25872.0,5.0,0.1277,5.0
25977.0,5.02,0.1275,5.0
26083.0,4.99,0.1277,5.0
26188.0,4.97,0.1282,5.0
26293.0,5.02,0.1277,5.0
26399.0,5.02,0.1275,5.0
26504.0,5.0,0.1277,5.0
26609.0,5.07,0.127,5.0
26715.0,5.0,0.127,5.0
26820.0,5.03,0.1267,5.0
26925.0,4.99,0.1272,5.0
27030.0,4.97,0.1275,5.0
